METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","ackley",5,2,980,46,0.030049,0.020000
"DEbest","ackley",5,2,1000,47,0.020624,0.020000
"DEbest","ackley",5,2,1020,48,0.015256,0.020000
"DEbest","ackley",5,2,1040,49,0.011950,0.020000
"DEbest","ackley",5,2,1060,50,0.008504,0.020000
"DEbest","ackley",5,2,1080,51,0.008504,0.020000
"DEbest","ackley",5,2,1100,52,0.007597,0.020000
"DEbest","ackley",5,2,1120,53,0.006103,0.020000
"DEbest","ackley",5,2,1140,54,0.006103,0.020000
"DEbest","ackley",5,2,1160,55,0.006103,0.020000
"DEbest","ackley",5,2,1180,56,0.006103,0.020000
"DEbest","ackley",5,2,1200,57,0.004877,0.020000
"DEbest","ackley",5,2,1220,58,0.004877,0.020000
"DEbest","ackley",5,2,1240,59,0.004877,0.020000
"DEbest","ackley",5,2,1260,60,0.004324,0.020000
"DEbest","ackley",5,2,1280,61,0.003539,0.020000
"DEbest","ackley",5,2,1300,62,0.003490,0.020000
"DEbest","ackley",5,2,1320,63,0.002518,0.020000
"DEbest","ackley",5,2,1340,64,0.001851,0.020000
"DEbest","ackley",5,2,1360,65,0.001538,0.020000
"DEbest","ackley",5,2,1380,66,0.001148,0.020000
"DEbest","ackley",5,2,1400,67,0.001148,0.020000
"DEbest","ackley",5,2,1420,68,0.001148,0.020000
"DEbest","ackley",5,2,1440,69,0.001101,0.020000
"DEbest","ackley",5,2,1460,70,0.000778,0.020000
"DEbest","ackley",5,2,1480,71,0.000547,0.020000
"DEbest","ackley",5,2,1500,72,0.000339,0.030000
"DEbest","ackley",5,2,1520,73,0.000302,0.030000
"DEbest","ackley",5,2,1540,74,0.000302,0.030000
"DEbest","ackley",5,2,1560,75,0.000262,0.030000
"DEbest","ackley",5,2,1580,76,0.000262,0.030000
"DEbest","ackley",5,2,1600,77,0.000139,0.030000
"DEbest","ackley",5,2,1620,78,0.000139,0.030000
"DEbest","ackley",5,2,1640,79,0.000139,0.030000
"DEbest","ackley",5,2,1660,80,0.000139,0.030000
"DEbest","ackley",5,2,1680,81,0.000105,0.030000
"DEbest","ackley",5,2,1700,82,0.000069,0.030000
"DEbest","ackley",5,2,1720,83,0.000050,0.030000
"DEbest","ackley",5,2,1740,84,0.000050,0.030000
"DEbest","ackley",5,2,1760,85,0.000041,0.030000
"DEbest","ackley",5,2,1780,86,0.000040,0.030000
"DEbest","ackley",5,2,1800,87,0.000036,0.030000
"DEbest","ackley",5,2,1820,88,0.000036,0.030000
"DEbest","ackley",5,2,1840,89,0.000036,0.030000
"DEbest","ackley",5,2,1860,90,0.000029,0.030000
"DEbest","ackley",5,2,1880,91,0.000029,0.030000
"DEbest","ackley",5,2,1900,92,0.000019,0.030000
"DEbest","ackley",5,2,1920,93,0.000018,0.030000
"DEbest","ackley",5,2,1940,94,0.000012,0.030000
"DEbest","ackley",5,2,1960,95,0.000012,0.040000
"DEbest","ackley",5,2,1980,96,0.000012,0.040000
"DEbest","ackley",5,2,2000,97,0.000009,0.040000
"DEbest","ackley",5,3,80,1,17.655796,0.000000
"DEbest","ackley",5,3,100,2,14.046155,0.000000
"DEbest","ackley",5,3,120,3,14.046155,0.000000
"DEbest","ackley",5,3,140,4,8.131486,0.000000
"DEbest","ackley",5,3,160,5,8.131486,0.000000
"DEbest","ackley",5,3,180,6,8.131486,0.000000
"DEbest","ackley",5,3,200,7,8.131486,0.000000
"DEbest","ackley",5,3,220,8,7.946841,0.000000
"DEbest","ackley",5,3,240,9,7.946841,0.000000
"DEbest","ackley",5,3,260,10,7.946841,0.000000
"DEbest","ackley",5,3,280,11,7.946841,0.000000
"DEbest","ackley",5,3,300,12,7.946841,0.000000
"DEbest","ackley",5,3,320,13,7.148701,0.000000
"DEbest","ackley",5,3,340,14,5.380552,0.000000
"DEbest","ackley",5,3,360,15,5.380552,0.000000
"DEbest","ackley",5,3,380,16,4.790815,0.000000
"DEbest","ackley",5,3,400,17,3.770663,0.000000
"DEbest","ackley",5,3,420,18,3.078428,0.000000
"DEbest","ackley",5,3,440,19,3.078428,0.000000
"DEbest","ackley",5,3,460,20,3.078428,0.000000
"DEbest","ackley",5,3,480,21,2.793529,0.000000
"DEbest","ackley",5,3,500,22,2.732170,0.000000
"DEbest","ackley",5,3,520,23,2.371478,0.000000
"DEbest","ackley",5,3,540,24,2.008270,0.000000
"DEbest","ackley",5,3,560,25,0.867999,0.000000
"DEbest","ackley",5,3,580,26,0.867999,0.000000
"DEbest","ackley",5,3,600,27,0.867999,0.000000
"DEbest","ackley",5,3,620,28,0.867999,0.000000
"DEbest","ackley",5,3,640,29,0.867999,0.000000
"DEbest","ackley",5,3,660,30,0.771586,0.000000
"DEbest","ackley",5,3,680,31,0.224854,0.010000
"DEbest","ackley",5,3,700,32,0.224854,0.010000
"DEbest","ackley",5,3,720,33,0.224854,0.010000
"DEbest","ackley",5,3,740,34,0.223449,0.010000
"DEbest","ackley",5,3,760,35,0.165247,0.010000
